molecule_chembl_id,standard_value,canonical_smiles
CHEMBL512843,710.0,Cc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1
CHEMBL469583,890.0,CCc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1
CHEMBL470213,650.0,CC(C)c1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1
CHEMBL470420,820.0,COc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1
CHEMBL470220,2840.0,CSc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1
CHEMBL470221,67.0,O=C(Nc1ccc(F)cc1)c1cc2ccccc2oc1=O
CHEMBL513209,1140.0,O=C(O)c1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1
CHEMBL470226,1.4,CS(=O)(=O)c1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1
CHEMBL453410,800.0,O=C(Nc1ccc(O)cc1)c1cc2ccccc2oc1=O
CHEMBL469818,19070.0,Cc1cccc(Cl)c1NC(=O)c1cc2ccccc2oc1=O
CHEMBL511966,22450.0,Cc1ccc(C)c(NC(=O)c2cc3ccccc3oc2=O)c1
CHEMBL470020,13740.0,Cc1ccc(NC(=O)c2cc3ccccc3oc2=O)c(C)c1
CHEMBL511967,18270.0,Cc1cccc(NC(=O)c2cc3ccccc3oc2=O)c1C
CHEMBL512719,1290.0,Cc1cccc(C)c1NC(=O)c1cc2ccccc2oc1=O
CHEMBL472069,9230.0,O=C(Nc1c(F)cccc1F)c1cc2ccccc2oc1=O
CHEMBL471221,380.0,Cc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1C
CHEMBL450518,860.0,COc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1OC
CHEMBL471232,700.0,Cc1cc(C)cc(NC(=O)c2cc3ccccc3oc2=O)c1
CHEMBL508793,4180.0,COc1cc(NC(=O)c2cc3ccccc3oc2=O)cc(OC)c1
CHEMBL469768,460.0,O=C(Nc1c(F)c(F)c(F)c(F)c1F)c1cc2ccccc2oc1=O
CHEMBL511789,860.0,N#Cc1c(F)c(F)c(NC(=O)c2cc3ccccc3oc2=O)c(F)c1F
CHEMBL513549,580.0,O=C(Nc1c(F)c(F)nc(F)c1F)c1cc2ccccc2oc1=O
CHEMBL469976,1960.0,O=C(NCc1ccccc1)c1cc2ccccc2oc1=O
CHEMBL448696,8890.0,CN(C(=O)c1cc2ccccc2oc1=O)c1ccccc1
CHEMBL471447,64450.0,O=C(NC1CCCCC1)c1cc2ccc(OCc3ccccc3)cc2oc1=O
CHEMBL499266,9590.0,CC(C)CNC(=O)c1cc2ccc(OCc3ccccc3)cc2oc1=O
CHEMBL512703,3690.0,CC(C)c1ccc(NC(=O)c2cc3ccc(OCc4ccccc4)cc3oc2=O)cc1
CHEMBL470612,16540.0,N#Cc1c(F)c(F)c(NC(=O)c2cc3ccc(OCc4ccccc4)cc3oc2=O)c(F)c1F
CHEMBL472218,63520.0,O=C(Nc1ccccc1Cc1ccccc1)c1cc2ccc(OCc3ccccc3)cc2oc1=O
CHEMBL469571,61490.0,Cc1cccc(Cl)c1NC(=O)c1cc2ccc(OCc3ccccc3)cc2oc1=O
CHEMBL469782,4390.0,COc1ccc(NC(=O)c2cc3ccc(OCc4ccccc4)cc3oc2=O)cc1OC
CHEMBL469783,3360.0,COc1cc(NC(=O)c2cc3ccc(OCc4ccccc4)cc3oc2=O)cc(OC)c1
CHEMBL502021,990.0,O=C(NCc1ccccc1)c1cc2ccc(OCc3ccccc3)cc2oc1=O
CHEMBL526897,4520.0,O=C(NNc1ccccc1)c1cc2ccc(OCc3ccccc3)cc2oc1=O
CHEMBL500683,3450.0,N#Cc1c(F)c(F)c(NC(=O)c2cc3ccc(OCc4ccc(F)cc4)cc3oc2=O)c(F)c1F
CHEMBL484769,41640.0,Cc1cccc(Cl)c1NC(=O)c1cc2ccc(OCc3ccc(F)cc3)cc2oc1=O
CHEMBL484410,2870.0,COc1ccc(NC(=O)c2cc3ccc(OCc4ccc(F)cc4)cc3oc2=O)cc1OC
CHEMBL519678,21560.0,COc1cc(NC(=O)c2cc3ccc(OCc4ccc(F)cc4)cc3oc2=O)cc(OC)c1
CHEMBL470008,2370.0,CN(C(=O)c1cc2ccc(OCc3ccccc3)cc2oc1=O)c1ccccc1
CHEMBL471228,4980.0,COc1ccc(NC(=O)c2cc3ccc(OCc4ccccc4)c(C)c3oc2=O)cc1OC
CHEMBL139679,5.1,O=C(/C=C/c1ccc(Cl)cc1)c1ccc(O)cc1O
CHEMBL406861,4.4,COc1ccc(C(=O)/C=C/c2ccc(Cl)cc2)c(O)c1
CHEMBL7531,31.0,O=C(/C=C/c1ccc(Cl)cc1)c1ccc(O)cc1
CHEMBL490752,71.0,O=C(/C=C/c1ccc(Cl)cc1)c1ccc(F)cc1O
CHEMBL489719,54.0,COc1ccc(C(=O)/C=C/c2ccc(Cl)cc2)cc1
CHEMBL241861,160.0,O=C(/C=C/c1ccc(Cl)cc1)c1ccccc1O
CHEMBL490923,470.0,CS(=O)(=O)c1ccc(C(=O)/C=C/c2ccc(Cl)cc2)cc1
CHEMBL489720,450.0,COc1ccc(C(=O)/C=C/c2ccc(OCc3ccccc3)cc2)cc1
