,molecule_chembl_id,canonical_smiles,pIC50
259,CHEMBL329893,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@@H]2c2ccccc2)CC1,9.698970004336019
260,CHEMBL93139,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CC[C@](C)(CN(C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1,10.0
261,CHEMBL91697,CC(c1ccccc1)N1C[C@H](CN2CCC(c3ccccc3)CC2)[C@@H](c2ccccc2)C1,6.318758762624412
262,CHEMBL327392,COC(=O)c1ccccc1C(=O)N1C[C@H](CN2CCC(c3ccccc3)CC2)[C@@H](c2ccccc2)C1,7.494850021680094
263,CHEMBL327540,Cc1cccc([C@H]2CN(Cc3ccccc3)C[C@@H]2CN2CCC(c3ccccc3)CC2)c1,6.4089353929735005
264,CHEMBL327478,Clc1ccccc1[C@H]1CN(Cc2ccccc2)C[C@@H]1CN1CCC(c2ccccc2)CC1,6.0
265,CHEMBL327800,COc1ccccc1C(=O)N1C[C@H](CN2CCC(c3ccccc3)CC2)[C@@H](c2ccccc2)C1,6.853871964321762
266,CHEMBL94032,Clc1cccc([C@H]2CN(Cc3ccccc3)C[C@@H]2CN2CCC(c3ccccc3)CC2)c1,6.0915149811213505
267,CHEMBL93644,O=C(Nc1ccccc1)N1C[C@H](CN2CCC(c3ccccc3)CC2)[C@@H](c2ccccc2)C1,6.214670164989233
268,CHEMBL329555,O=C(c1ccoc1)N1C[C@H](CN2CCC(c3ccccc3)CC2)[C@@H](c2ccccc2)C1,7.481486060122112
